,Process area,Level 1 Process,Module,Sub Process,Level 1 Process_code,Module_code,Sub Process_code
309,R2R,customerinvoicing&ar(mbil),updatecustomerbalancedatafromecctoinformix,customermaintenance&managecredit,3,50,11
310,R2R,customerinvoicing&ar(mbil),updateinvoicebalancedatafromecctoinformix,customerinvoicing,3,52,10
311,R2R,customerinvoicing&ar(mbil),createsalesinvoicedatafrominformixtoecc,customerinvoicing,3,13,10
312,R2R,customerinvoicing&ar(mbil),updatesalesinvoicedatafromecctoinformix,customerinvoicing,3,53,10
313,R2R,generalaccountingconsolidation&reporting,glmasterdata&costcenterinterface,generalaccounting,6,19,14
314,R2R,vendorinvoicing&ap,invoices,vendorinvoicing,15,23,38
315,R2R,generalaccountingconsolidation&reporting,apcdeck-02costcenters-parent,generalaccounting,6,2,14
316,R2R,vendorinvoicing&ap,apcdeck-02costcenters-parent,vendorinvoicing,15,2,38
317,R2R,managementcostaccounting,co,costaccounting&control,8,10,8
318,R2R,vendorinvoicing&ap,ap,payable&outgoingpayments,15,1,25
319,R2R,vendorinvoicing&ap,mm,vendorinvoicing,15,29,38
320,R2R,customerinvoicing&ar,sd,customerinvoicing,2,41,10
321,R2R,customerinvoicing&ar,ps,customerinvoicing,2,33,10
322,R2R,fixedasset&projectaccounting,co,projectaccounting&env.remediation,4,10,28
323,R2R,nan,nan,nan,11,30,24
324,R2R,customerinvoicing&ar(mbil),fi,reporting,3,16,33
325,R2R,vendorinvoicing&ap,ap,inventoryaccounting,15,1,19
326,R2R,customerinvoicing&ar(mbil),ar,customerinvoicing,3,6,10
327,R2R,customerinvoicing&ar(mbil),ar,customermaintenance&managecredit,3,6,11
328,R2R,vendorinvoicing&ap,ap,1099taxwithholding/reporting,15,1,0
329,R2R,vendorinvoicing&ap,mm,inventoryaccounting,15,29,19
330,R2R,customerinvoicing&ar(mbil),ar,reporting,3,6,33
331,R2R,managementcostaccounting,co,costaccounting&control,8,10,8
332,R2R,fixedasset&projectaccounting,im,projectaccountingforenvironmentalremediation,4,22,30
333,R2R,misc,basis,nan,10,7,24
334,R2R,managetaxes,tax,indirecttaxes-sales&usetax,9,43,16
335,R2R,generalaccountingconsolidation&reporting,tax,externalauditcompliance,6,43,13
336,R2R,fixedasset&projectaccounting,ps,customerinvoicing,4,33,10
337,R2R,customerinvoicing&ar(mbil),sd,reporting,3,41,33
338,R2R,vendorinvoicing&ap,fi,travel&purchasecard,15,16,37
339,R2R,generalaccountingconsolidation&reporting,gl,internalauditcompliance,6,17,18
340,R2R,vendorinvoicing&ap,ap,reporting,15,1,33
341,R2R,fixedasset&projectaccounting,gl,generalaccounting,4,17,14
342,R2R,customerinvoicing&ar(mbil),ar,bankmanagement,3,6,5
343,R2R,vendorinvoicing&ap,ap,supplierinvoicingandpayments,15,1,36
344,R2R,vendorinvoicing&ap,hcm,travel&purchasecard,15,20,37
345,R2R,vendorinvoicing&ap,travel,travel&purchasecard,15,45,37
346,R2R,vendorinvoicing&ap,ap,misc,15,1,23
347,R2R,customerinvoicing&ar(mbil),ar,lockboxintegration,3,6,21
348,R2R,vendorinvoicing&ap,gl,1099taxwithholding/reporting,15,17,0
349,R2R,fixedasset&projectaccounting,ps,directtaxpropertytax,4,33,12
350,R2R,generalaccountingconsolidation&reporting,co,generalaccounting,6,10,14
351,R2R,customerinvoicing&ar(mbil),co,customerinvoicing,3,10,10
352,R2R,vendorinvoicing&ap,ap,travel&purchasecard,15,1,37
353,R2R,managementcostaccounting,co,managementreporting,8,10,22
354,R2R,treasuryoperations,gl,bankmanagement,13,17,5
355,R2R,misc,misc,nan,10,28,24
