Process area,Level 1 Process,Module,Sub Process
HCM,Payroll Admin,Payroll,Ben vendors
HCM,Payroll Admin,Payroll,Payroll Integration
HCM,Benefits Admin.,Benefits,ACA
HCM,,Recruiting,Demographics
HCM,,PA,ESS
HCM,,Payroll,Taxes
HCM,,OM,Org Management
HCM,,PA,Personnel Admin
HCM,,OM,Position Management
HCM,,Time,CATS
HCM,,Travel,Travel Planning
HCM,,PA,Personnel Header Data
HCM,,Talent,Appraisal
HCM,,Time,Replacements
HCM,,PA,Concur
HCM,,Talent,Training
HCM,,OM,Personnel Admin
HCM,,PA,SF Integration
HCM,,PA,Address
HCM,,Benefits,Ben Integration
HCM,,Benefits,Eligibility
HCM,,Benefits,Ben Cost
HCM,,Benefits,Ben Admin
HCM,,Comp,Comp
HCM,,Payroll,Posting
HCM,,Recruiting,SF Integration
HCM,,Talent,Authorization
HCM,,Payroll,ESS/MSS
HCM,,Travel,Authorization
HCM,,OM,Authorization
HCM,,Talent ,Candidate Admin
HCM,,Payroll,Earnings & Deductions
HCM,,Payroll,ESS view
HCM,,Payroll,Pension Admin
HCM,,SD,MBIL
P2P,IWM,MM,Material Master
P2P,Procurement,MM,Vendor Invoicing
P2P,IWM,MM,Inventory Planning
P2P,Procurement,MM,Contract Mgt
P2P,Delivery Management,LE,Outbound Delivery Management
P2P,IWM,MM,Rotable Mgt
P2P,Procurement,MM,Direct Procurement
P2P,Procurement,MM,PO Processing
P2P,IWM,MM,Inventory Mgt
P2P,IWM,"MM, WM",Warehouse Picking
P2P,IWM,"MM, WM",Storage Bin Management
P2P,Procurement,MM,Indirect Procurement
P2P,IWM,MM,Goods Issues
P2P,IWM,MM,Storage Bin Management
P2P,IWM,MM,Stock Transfers
P2P,Procurement,LE,PO Processing
P2P,Finance,FI,A/P
P2P,IWM,MM,Stock Obsolescence Mgt
P2P,IWM,MM,Physical Inventory
P2P,IWM,MM,Warehouse Picking
P2P,Finance,MM,A/R
P2P,Delivery Management,MM,Stock Transport Orders
P2P,IWM,MM,Receiving
P2P,Procurement,E-Sourcing,Sourcing
P2P,Procurement,MM,Material Master
P2P,Procurement,SRM,Sourcing
P2P,Procurement,SRM,Vendor Mgt
